NORAD_number,satellite_name,country_of_owner,owner_operator,user,purpose,class_of_orbit,launch_date,contractor,country_of_contractor,launch_location,launch_vehicle
44589,1HOPSAT-TD (1st-generation High Optical Performance Satellite),USA,Hera Systems,Commercial,Earth Observation,LEO,2019-12-11,Hera Systems,USA,Satish Dhawan Space Centre,PSLV
43728,3Cat-1,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,LEO,2018-11-29,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV
42775,Aalto-1 ,Finland,University of Aalto,Civil,Technology Development,LEO,2017-06-23,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV
41460,AAUSat-4,Denmark,University of Aalborg,Civil,Earth Observation,LEO,2016-04-25,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a
39508,"ABS-2 (Koreasat-8, ST-3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,2014-02-06,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
41588,ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,2016-06-15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
40424,ABS-3A ,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,2015-03-02,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
28184,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,2004-03-13,Space Systems/Loral,USA,Cape Canaveral,Atlas 3
25924,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,1999-09-26,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
25894,"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,1999-09-04,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane
25336,"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,1998-05-09,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA
27937,"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,2003-09-09,TRW Space and Electronics,USA,Cape Canaveral,Titan IV
33490,"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,2009-01-18,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
37232,"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,2010-11-21,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
38528,"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,2012-06-29,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
41584,"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,2016-06-11,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
38254,"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,US Air Force,Military,Communications,GEO,2012-05-03,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
39256,"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,US Air Force,Military,Communications,GEO,2013-09-18,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
43651,"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA,US Air Force,Military,Communications,GEO,2018-10-17,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
44481,"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA,US Air Force,Military,Communications,GEO,2019-08-08,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
45465,"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA,US Air Force ,Military,Communications,GEO,2020-03-26,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
38760,Aeneas,USA,Department of Homeland Security,Government,Technology Development,LEO,2012-09-13,University of Southern California,USA,Vandenberg AFB,Atlas 5
43600,Aeolus,ESA,European Space Agency (ESA),Government,Earth Observation,LEO,2018-08-22,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega
44485,Aerocube 10A (Jimsat),USA,Aerospace Corporation,Commercial,Technology Development,LEO,2019-08-09,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
44484,Aerocube 10B (Dougsat),USA,Aerospace Corporation,Commercial,Technology Development,LEO,2019-08-09,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
43861,Aerocube 11A (TOMSat Eagle Scout),USA,Aerospace Corporation,Commercial,Technology Development,LEO,2018-12-17,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron
43849,Aerocube 11B (TOMSat R3),USA,Aerospace Corporation,Commercial,Technology Development,LEO,2018-12-17,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron
43556,Aerocube 12A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2018-07-16,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
43557,Aerocube 12B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2018-07-16,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
45114,Aerocube 14A,USA,Aerospace Corporation,Military,Technology Development,LEO,2020-01-31,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
45116,Aerocube 14B,USA,Aerospace Corporation,Military,Technology Development,LEO,2020-01-31,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
45117,Aerocube 15A,USA,Aerospace Corporation,Military,Technology Development,LEO,2020-01-31,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
40965,Aerocube 5C,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2015-10-08,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
40045,Aerocube 6A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2014-06-19,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
40046,Aerocube 6B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2014-06-19,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
40966,Aerocube 7A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2015-10-08,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
40659,Aerocube 8A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2015-05-20,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
40660,Aerocube 8B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2015-05-20,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
41852,Aerocube 8D,USA,Aerospace Corporation,Commercial,Technology Development,LEO,2016-11-11,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
33460,"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,2008-12-20,EADS Astrium,France,Guiana Space Center,Ariane 5
31304,AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,LEO,2007-04-25,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL
40054,AISat-1,Germany,German Aerospace Center (DLR),Government,Communications,LEO,2014-06-30,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA
36797,AISSat-1 (Automatic Identification System Satellite-1),Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,2010-07-12,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV
40075,AISSat-2 (Automatic Identification System Satellite-2),Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,2014-07-08,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b
39492,AIST-1,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,2013-12-28,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v"
39133,AIST-2,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,2013-04-19,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a
41465,AIST-2D,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,2016-04-27,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a
43768,AISTechSat-2,Spain,AISTech,Commercial,Earth Observation,LEO,2018-12-03,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9
44103,AISTechSat-3,Spain,AISTech,Commercial,Earth Observation,LEO,2019-04-01,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV
43174,Al Yah-3,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,GEO,2018-01-25,Orbital ATK,USA,Guiana Space Center,Ariane 5
43039,Alcomsat (Algerian Communications Satellite),Algeria,Algerian Space Agency (ASAL),Government,Communications,GEO,2017-12-10,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
44824,ALE-2 (Astro Live Experiences-2),Japan,Astro Live Experiences,Commercial,Earth Science,LEO,2019-12-06,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron
43805,Al-Farabi-2,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,LEO,2018-12-03,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9
39467,ALiCE  (AFIT LEO iMESA CNT E),USA,US Air Force Institute of Technology,Military,Technology Development,LEO,2013-12-06,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5
41786,Alsat 2B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,2016-09-26,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
41785,Alsat-1B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,2016-09-26,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV
41789,AlSat-1N,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,LEO,2016-09-26,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV
36798,Alsat-2A (Algeria Satellite 2A),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,2010-07-12,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
35942,Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,2009-10-01,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
39078,Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,2013-02-07,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
39616,Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,2014-03-22,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
42934,Amazonas-5,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,2017-09-12,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
24315,"AMC-1 (Americom 1, GE-1)",USA,SES S.A.,Commercial,Communications,GEO,1996-09-08,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A
28252,"AMC-11 (Americom-11, GE 11)",USA,SES S.A.,Commercial,Communications,GEO,2004-05-19,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS
28446,AMC-15 (Americom-15),USA,SES S.A.,Commercial,Communications,GEO,2004-10-14,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M
28472,AMC-16 (Americom-16),USA,SES S.A.,Commercial,Communications,GEO,2004-12-17,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5
29644,AMC-18 (Americom 18),USA,SES S.A.,Commercial,Communications,GEO,2006-12-08,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5
24713,"AMC-2 (Americom 2, GE-2)",USA,SES S.A.,Commercial,Communications,GEO,1997-01-30,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L
33275,AMC-21 (Americom 21),USA,SES S.A.,Commercial,Communications,GEO,2008-08-14,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
25954,"AMC-4 (Americom-4, GE-4)",USA,SES S.A./Gogo,Commercial,Communications,GEO,1999-11-13,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP
26580,"AMC-6 (Americom-6, GE-6)",USA,SES S.A.,Commercial,Communications,GEO,2000-10-22,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K
26639,"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,SES S.A.,Commercial,Communications,GEO,2000-12-19,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G
44394,AmGU-1 (AmurSat-1),Russia,Moscow State University,Civil,Space Science,LEO,2019-07-05,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b
44479,Amos 17,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,2019-08-06,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
32794,Amos 3,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,2008-04-28,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB
39237,Amos 4,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,2013-08-31,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB
7530,Amsat-Oscar 7 (AO-7),USA,AMSAT-NA,Civil,Communications,LEO,1974-11-15,Amsat-NA,USA,Vandenberg AFB,Delta 2310
44876,ANGELS (Argos Neo on a Generic Economical and Light Satellite),ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,LEO,2019-12-18,CNES ,ESA,Guiana Space Center,Soyuz
26624,Anik F1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,2000-11-21,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L
28868,Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,2005-09-09,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
28378,Anik F2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,2004-07-18,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5
31102,Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,2007-04-09,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
39127,Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,2013-04-15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M
43940,Aoba-VELOX 4,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,LEO,2019-01-18,Kyushu Institute of Technology,Japan,Uchinoura Space Center,Epsilon
28372,AprizeSat 1 (LatinSat-C),Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,LEO,2004-06-29,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr
40019,AprizeSat 10 (exactView-13),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,2014-06-19,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
28366,AprizeSat 2 (LatinSat-D),Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,LEO,2004-06-29,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr
35686,AprizeSat 3 ,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,2009-07-29,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr
35684,AprizeSat 4 ,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,2009-07-29,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr
37792,AprizeSat 5,Canada,Aprize Satellite,Commercial,Communications,LEO,2011-08-17,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
39416,AprizeSat 7,Canada,Aprize Satellite,Commercial,Communications,LEO,2013-11-21,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
39425,AprizeSat 8 (exactView-12),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,2013-11-21,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
40018,AprizeSat 9 (exactView-11),Canada,exactEarth,Commercial,Communications/Maritime Tracking,LEO,2014-06-19,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
28638,Apstar 6,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,2005-04-12,Alcatel Space Industries,France/Italy,Xichang Satellite Launch Center,Long March 3B
43450,Apstar 6C,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,2018-05-03,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
38107,Apstar 7,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,2012-03-31,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B
40982,Apstar 9,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,2015-10-16,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
37810,Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,2011-09-21,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA
44186,Arabsat 6A,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,2019-04-11,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy
25740,Arabsat 7F (Nimiq 1) ,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,1999-05-20,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D
43130,Arkyd-6A,USA,Planetary Resources,Commercial,Technology Development,LEO,2018-01-11,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV
44352,ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit),USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,Elliptical,2019-06-25,UT Austin/Baylor University,USA,Cape Canaveral,Falcon Heavy
40272,ArSat 1,Argentina,ArSat,Commercial,Communications,GEO,2014-10-16,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA
40941,ArSat 2,Argentina,ArSat,Commercial,Communications,GEO,2015-09-30,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA
25657,AsiaSat-3S (Asiasat 3SA),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,1999-03-21,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K
35696,AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,2009-08-11,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M
40141,AsiaSat-6 (Thaicom-7),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,2014-09-07,Space Systems/Loral,USA,Cape Canaveral,Falcon 9
37933,AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,2011-11-25,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M
40107,AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,2014-08-05,Space Systems/Loral,USA,Cape Canaveral,Falcon 9
42942,AsiaSat-9,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,2017-09-28,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
26107,AsiaStar ,USA,1Worldspace,Commercial,Communications,GEO,2000-03-21,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G
40298,ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Japan Space Systems,Government,Earth Observation,LEO,2014-11-06,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr
43152,ASNARO 2 (Advanced Satellite with New system Architecture for Observation),Japan,Japan Space Systems,Government,Earth Observation,LEO,2018-01-17,NEC Corporation,Japan,Uchinoura Space Center,Epsilon
43020,ASTERIA ( (Arcsecond Space Telescope Enabling Research in Astrophysics),USA,Massachusetts Institute of Technology/NASA ,Government/Civil,Technology Development,LEO,2017-11-20,NASA Jet Propulsion Laboratory/MIT,USA,International Space Station,Nanorack Deployer
23331,Astra 1D ,Luxembourg,SES S.A.,Commercial,Communications,GEO,1994-11-01,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P
23842,Astra 1F ,Luxembourg,SES S.A.,Commercial,Communications,GEO,1996-04-18,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
25071,Astra 1G ,Luxembourg,SES S.A.,Commercial,Communications,GEO,1997-12-02,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
29055,Astra 1KR,Luxembourg,SES S.A.,Commercial,Communications,GEO,2006-04-20,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5
31306,Astra 1L,Luxembourg,SES S.A.,Commercial,Communications,GEO,2007-05-04,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA
33436,Astra 1M,Luxembourg,SES S.A.,Commercial,Communications,GEO,2008-11-05,EADS Astrium,France,Baikonur Cosmodrome,Proton M
37775,Astra 1N,Luxembourg,SES S.A.,Commercial,Communications,GEO,2011-08-06,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA
25462,Astra 2A ,Luxembourg,SES S.A.,Commercial,Communications,GEO,1998-08-30,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
26494,Astra 2B ,Luxembourg,SES S.A.,Commercial,Communications,GEO,2000-09-14,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G
26853,Astra 2C ,Luxembourg,SES S.A.,Commercial,Communications,GEO,2001-06-16,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K
26638,Astra 2D,Luxembourg,SES S.A.,Commercial,Communications,GEO,2000-12-19,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G
39285,Astra 2E (Eutelsat 28E),Luxembourg,SES S.A.,Commercial,Communications,GEO,2013-09-29,EADS Astrium,France,Baikonur Cosmodrome,Proton M
38778,Astra 2F (Eutelsat 28F),Luxembourg,SES S.A.,Commercial,Communications,GEO,2012-09-28,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA
40364,Astra 2G (Eutelsat 28G),Luxembourg,SES S.A.,Commercial,Communications,GEO,2014-12-27,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton M
27400,Astra 3A ,Luxembourg,SES S.A.,Commercial,Communications,GEO,2002-03-29,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L
36581,Astra 3B,Luxembourg,SES S.A.,Commercial,Communications,GEO,2010-05-21,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
39617,Astra 5B,Luxembourg,SES S.A.,Commercial,Communications,GEO,2014-03-22,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA
43127,Astranis Demosat-2,USA,Astranis,Commercial,Technology Development,LEO,2018-01-11,Astranis,USA,Satish Dhawan Space Centre,PSLV
43798,Astrocast 0.1,Switzerland,Astrocast,Commercial,Communications,LEO,2018-12-03,Astrocast,Switzerland,Vandenberg AFB,Falcon 9
44083,Astrocast 0.2,Switzerland,Astrocast,Commercial,Communications,LEO,2019-04-01,Astrocast,Switzerland,Satish Dhawan Space Centre,PSLV
40930,Astrosat,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,LEO,2015-09-28,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30
44333,AT&T T16,USA,"DirecTV, Inc.",Commercial,Communications,GEO,2019-06-20,Airbus Defense and Space,France,Guiana Space Center,Ariane 5
39509,Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,GEO,2014-02-06,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA
41168,Athenoxat-1 ((Athene Noctua Experimental Satellite) ,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,LEO,2015-12-16,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Centre,PSLV-C29
44830,"ATL-1 (Advanced Technology of Laser, Magyar-OSCAR 106, MO-106)",Hungary,ATL (Advanced Technology of Laser),Commercial,Technology Development,LEO,2019-12-06,Advanced Technology of Laser,Hungary,Rocket Lab Launch Complex 1,Electron
40017,Aurora  (Tabletsat-2U-EO),Russia,Sputnix Ltd.,Commercial,Technology Development,LEO,2014-06-19,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr
39079,Azerspace 1/Africasat-1a,Azerbaijan,Azercosmos,Government,Communications,GEO,2013-02-07,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
43632,Azerspace 2/Intelsat-38,Azerbaijan,Azercosmos,Government,Communications,GEO,2018-09-25,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
45257,AztecSat-1,USA/Mexico,Autonomous Popular University of the State of Puebla,Government/Civil,Technology Development,LEO,2020-02-19,NASA/Mexican Space Agency,USA/Mexico,International Space Station,Nanorack Deployer
29526,Badr 4 (Arabsat 4B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,2006-11-08,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
36592,Badr 5 (Arabsat 5B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,2010-06-03,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton
36745,Badr 5A (Arabsat 5A),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,2010-06-26,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
33154,Badr 6 (Arabsat 4AR),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,2008-07-07,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
41029,Badr 7 (Arabsat 6B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,2015-11-10,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
43463,Bangabandhu 1 ,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,GEO,2018-05-11,Thales Alenia Space,France/Belgium/Spain/Italy,Cape Canaveral,Falcon 9
40420,BARS-M (Cosmos 2503),Russia,Ministry of Defense,Military,Earth Observation,LEO,2015-02-27,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b
41394,BARS-M (Cosmos 2515),Russia,Ministry of Defense,Military,Earth Observation,LEO,2016-03-24,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz 2.1a
44879,BDSAGR-1,China,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.",Commercial,Earth Observation,LEO,2019-12-21,MinoSpace Technology,China,Taiyuan Space Center,Long March 4B
44412,Beesat-9 (Tubsat-17),Germany,"Technical University, Berlin",Civil,Technology Development,LEO,2019-07-05,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz 2.1b
